product_id,name,city,store_code,category,subcategory,categories,url,http_status,final_url,current_price,regular_price,sale_price,price_text,description,short_description,sku,weight,images,status,stock,stock_quantity,related_products,tags,variations,attributes,breadcrumbs,scraped_at,error,extra
208,Café Molido Friovesa 250gr,Quito,uio,,,[],https://friovesa.com/product/cafe-molido-friovesa-250gr/,200,https://friovesa.com/product/cafe-molido-friovesa-250gr/,6.5,6.5,,"$ 6,50",,"Café Molido Friovesa 250gr: Un Aroma y Sabor Inigualables Descubre el placer de una taza de café con el Café Molido Friovesa de 250 gramos, una selección premium que garantiza una experiencia sensorial única. Ideal para los amantes del café que buscan una combinación perfecta de sabor y aroma, este café es elaborado con granos",76411,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/cafe-molido.png?fit=370%2C270&ssl=1""]",activo,985 disponibles,985.0,"[{""name"": ""Atún Rojo ( 1Lb o 2Lb )"", ""url"": ""https://friovesa.com/product/atun-rojo-1lb-o-2lb/""}, {""name"": ""Alimento Barf 1kg a 48kg"", ""url"": ""https://friovesa.com/product/alimento-barf-1kg-a-48kg/""}, {""name"": ""Molida Res (500gr o 1kg)"", ""url"": ""https://friovesa.com/product/molida-res-500gr-o-1kg/""}, {""name"": ""Salmón ( 600gr o 1kg )"", ""url"": ""https://friovesa.com/product/salmon-600gr-o-1kg/""}]",[],[],{},"[""Inicio"", ""UIO""]",2026-07-31T11:01:25.037323+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Café Molido Friovesa 250gr"", ""price_text"": ""$ 6,50"", ""product_id"": ""208""}, ""mpn"": """", ""sitemap_lastmod"": ""2025-10-06T22:05:46+00:00""}"
4573,Agua Alcalina iones,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/agua-alcalina/,200,https://friovesa.com/product/agua-alcalina/,349.57,349.57,,"$ 349,57",,"Mejora del agua: Disminuye la inflamación y favorece una mejor circulación sanguínea y oxigenación. • Purificación: Combate hongos, bacterias y mal olor. • Equilibrio del organismo: • Contribuye a regular la presión arterial. • Regula el sistema nervioso. • Ayuda a lograr un sueño profundo y reparador. • Salud Física: • Combate várices. • Alivia",71628,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2026/05/43a8dd99-cacd-4789-8c94-a0508201e7dc.png?fit=1511%2C1041&ssl=1""]",activo,,,"[{""name"": ""Cangrejo Pulpa 1lb"", ""url"": ""https://friovesa.com/product/pulpa-de-cangrejo-1lb/""}, {""name"": ""Atún Rojo ( 1Lb o 2Lb )"", ""url"": ""https://friovesa.com/product/atun-rojo-1lb-o-2lb/""}, {""name"": ""Chuleta Ahumada 500gr o 1kg"", ""url"": ""https://friovesa.com/product/chuleta-ahumada-500gr-o-1kg/""}, {""name"": ""Lomo Fino Res 500gr o 1kg"", ""url"": ""https://friovesa.com/product/lomo-fino-res-500gr-o-1kg/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:01:17.689771+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Agua Alcalina iones"", ""price_text"": ""$ 349,57"", ""product_id"": ""4573""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-08T16:24:54+00:00""}"
627,Funda de Silicona G Fits 946 ml a 1180 ml,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/funda-de-silicona-g-fits-946-ml-a-1180-ml/,200,https://friovesa.com/product/funda-de-silicona-g-fits-946-ml-a-1180-ml/,4.0,4.0,,"$ 4,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",72719,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/4_resultado.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""Pulsera Iones Negativos"", ""url"": ""https://friovesa.com/product/pulsera-iones-negativos/""}, {""name"": ""Funda de Silicona P Fits 355 ml a 740 ml"", ""url"": ""https://friovesa.com/product/funda-de-silicona-p-fits-355-ml-a-740-ml/""}, {""name"": ""Vaso Térmico 600 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-600-ml/""}, {""name"": ""Vaso Térmico 890 ml c/Una Bombilla de Acero Inoxidable"", ""url"": ""https://friovesa.com/product/vaso-termico-890-ml-c-una-bombilla-de-acero-inoxidable/""}]",[],"[{""attributes"": {""color"": ""crema""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/6_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72719-01"", ""stock_quantity"": """", ""variation_id"": ""725"", ""weight"": """"}, {""attributes"": {""color"": ""gris""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/7_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72719-02"", ""stock_quantity"": """", ""variation_id"": ""726"", ""weight"": """"}, {""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/4_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72719-03"", ""stock_quantity"": """", ""variation_id"": ""727"", ""weight"": """"}, {""attributes"": {""color"": ""rosado""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/8_resultado-2.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72719-04"", ""stock_quantity"": """", ""variation_id"": ""728"", ""weight"": """"}, {""attributes"": {""color"": ""turquesa""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/5_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72719-05"", ""stock_quantity"": """", ""variation_id"": ""729"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:01:42.314311+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Funda de Silicona G Fits 946 ml a 1180 ml"", ""price_text"": ""$ 4,00"", ""product_id"": ""627""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-05-23T17:05:45+00:00""}"
628,Funda de Silicona P Fits 355 ml a 740 ml,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/funda-de-silicona-p-fits-355-ml-a-740-ml/,200,https://friovesa.com/product/funda-de-silicona-p-fits-355-ml-a-740-ml/,4.0,4.0,,"$ 4,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",72553,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/1_resultado.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""MicroPuroficador"", ""url"": ""https://friovesa.com/product/micropuroficador/""}, {""name"": ""Agua Alcalina iones"", ""url"": ""https://friovesa.com/product/agua-alcalina/""}, {""name"": ""Plantillas Curativas"", ""url"": ""https://friovesa.com/product/plantillas-curativas/""}, {""name"": ""Vaso Térmico 890 ml c/Una Bombilla de Acero Inoxidable"", ""url"": ""https://friovesa.com/product/vaso-termico-890-ml-c-una-bombilla-de-acero-inoxidable/""}]",[],"[{""attributes"": {""color"": ""gris""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/3_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72553-01"", ""stock_quantity"": """", ""variation_id"": ""722"", ""weight"": """"}, {""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/1_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72553-02"", ""stock_quantity"": """", ""variation_id"": ""723"", ""weight"": """"}, {""attributes"": {""color"": ""rosado""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/2_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 4, ""regular_price"": 4, ""sale_price"": null, ""sku"": ""72553-03"", ""stock_quantity"": """", ""variation_id"": ""724"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:01:42.737996+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Funda de Silicona P Fits 355 ml a 740 ml"", ""price_text"": ""$ 4,00"", ""product_id"": ""628""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-05-23T17:05:51+00:00""}"
4985,MicroPuroficador,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/micropuroficador/,200,https://friovesa.com/product/micropuroficador/,395.0,395.0,,"$ 395,00",,,68311,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2026/06/e104315a-c9a7-479d-9b19-da9f9638224e.png?fit=1511%2C1041&ssl=1""]",activo,,,"[{""name"": ""Lomo Fino Cerdo 500gr"", ""url"": ""https://friovesa.com/product/lomo-fino-cerdo/""}, {""name"": ""Chorizo Argentino 1kg – 12 ud"", ""url"": ""https://friovesa.com/product/chorizo-argentino-1kg-10-ud/""}, {""name"": ""Pechugas Limpias (1kg o 3Kg)"", ""url"": ""https://friovesa.com/product/pechugas-limpias-1kg-o-3kg/""}, {""name"": ""Tilapia ( 1Lb o 2Lb )"", ""url"": ""https://friovesa.com/product/tilapia-1lb-o-2lb/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:01:51.308422+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""MicroPuroficador"", ""price_text"": ""$ 395,00"", ""product_id"": ""4985""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-16T19:30:10+00:00""}"
4571,Plantillas Curativas,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/plantillas-curativas/,200,https://friovesa.com/product/plantillas-curativas/,135.65,135.65,,"$ 135,65",,"• Combate várices. • Contribuye a regular la presión arterial. • Combate hongos, bacterias y mal olor. • Ayuda a lograr un sueño profundo y reparador. • Disminuye inflamación. • Favorece una mejor circulación sanguínea y oxigenación. • Alivia el dolor. • Regula el sistema nervioso. • Aumenta la fuerza muscular. Debajo de los beneficios",18861,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2026/05/c2636c5f-a0e8-4e96-aa1b-65749e7c8ac2.png?fit=1511%2C1041&ssl=1""]",activo,,,"[{""name"": ""Pulpas Saludables 10 ud x litro"", ""url"": ""https://friovesa.com/product/6-pulpas-detox/""}, {""name"": ""Chuleta Ahumada 500gr o 1kg"", ""url"": ""https://friovesa.com/product/chuleta-ahumada-500gr-o-1kg/""}, {""name"": ""Lomo falda Res 500gr o 1kg"", ""url"": ""https://friovesa.com/product/lomo-falda-res-500gr-o-1kg/""}, {""name"": ""Hamburguesa Res 1Lb o 2lb"", ""url"": ""https://friovesa.com/product/hamburguesa-res-1lb-o-2lb/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:00.476001+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Plantillas Curativas"", ""price_text"": ""$ 135,65"", ""product_id"": ""4571""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-08T16:26:07+00:00""}"
4575,Pulsera Iones Negativos,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/pulsera-iones-negativos/,200,https://friovesa.com/product/pulsera-iones-negativos/,211.31,211.31,,"$ 211,31",,"Favorece una mejor circulación sanguínea y oxigenación. Colabora en el tratamiento osteoarticular. Ayuda a lograr un sueño profundo y reparador. Aumenta la fuerza muscular. Ayuda en casos de fibromialgia. Proporciona vitalidad, fuerza y energía. Mejora centro de equilibrio y estabilidad. Ayuda a aliviar el dolor. Contribuye a regular la presión arterial. Promueve el rendimiento en",36247,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2026/05/1b38429f-5b92-4fa9-b957-5fe1ca05cbaf.png?fit=1511%2C1041&ssl=1""]",activo,,,"[{""name"": ""Chuleta Ahumada 500gr o 1kg"", ""url"": ""https://friovesa.com/product/chuleta-ahumada-500gr-o-1kg/""}, {""name"": ""Costillas Cerdo 1Kg"", ""url"": ""https://friovesa.com/product/costillas-cerdo-1kg/""}, {""name"": ""Camarones 500gr o 1kg"", ""url"": ""https://friovesa.com/product/camarones-500gr-o-1kg/""}, {""name"": ""Lomo Fino Res 500gr o 1kg"", ""url"": ""https://friovesa.com/product/lomo-fino-res-500gr-o-1kg/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:02.973805+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Pulsera Iones Negativos"", ""price_text"": ""$ 211,31"", ""product_id"": ""4575""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-08T16:24:14+00:00""}"
4977,Purificador Casero,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/purificador-casero/,200,https://friovesa.com/product/purificador-casero/,129.0,129.0,,"$ 129,00",,,16193,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2026/06/ce821fd5-171d-4285-96e9-2567ab3970ab-1.png?fit=1511%2C1041&ssl=1""]",activo,,,"[{""name"": ""Dorado Filetes 1lb o 2lb"", ""url"": ""https://friovesa.com/product/dorado-filetes-1lb-o-2lb/""}, {""name"": ""Chorizo Argentino 1kg – 12 ud"", ""url"": ""https://friovesa.com/product/chorizo-argentino-1kg-10-ud/""}, {""name"": ""Alitas 1kg – 6 a 7ud"", ""url"": ""https://friovesa.com/product/alitas-1kg-6-a-7ud/""}, {""name"": ""Camarones 500gr o 1kg"", ""url"": ""https://friovesa.com/product/camarones-500gr-o-1kg/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:03.324841+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Purificador Casero"", ""price_text"": ""$ 129,00"", ""product_id"": ""4977""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-08T16:22:39+00:00""}"
629,Tapa de Repuesto con Pico,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/tapa-de-repuesto-con-pico/,200,https://friovesa.com/product/tapa-de-repuesto-con-pico/,5.0,5.0,,"$ 5,00",,"La Tapa de Repuesto con Pico es una excelente opción para quienes buscan mantener sus recipientes cerrados de manera segura y eficiente. Fabricada con materiales de alta calidad, esta tapa garantiza un ajuste perfecto, evitando derrames y asegurando la frescura de tus alimentos por más tiempo. Su diseño con pico permite verter líquidos o ingredientes",16883,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/9_resultado.webp?fit=1156%2C844&ssl=1""]",activo,,,"[{""name"": ""Purificador Casero"", ""url"": ""https://friovesa.com/product/purificador-casero/""}, {""name"": ""Agua Alcalina iones"", ""url"": ""https://friovesa.com/product/agua-alcalina/""}, {""name"": ""Termo Térmico 621 ml Sport Lid"", ""url"": ""https://friovesa.com/product/termo-termico-621-ml-sport-lid/""}, {""name"": ""Vaso Térmico 600 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-600-ml/""}]",[],[],{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:08.726106+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Tapa de Repuesto con Pico"", ""price_text"": ""$ 5,00"", ""product_id"": ""629""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-05-23T17:07:14+00:00""}"
621,Termo Térmico 355 ml,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/termo-termico-355-ml/,200,https://friovesa.com/product/termo-termico-355-ml/,13.0,13.0,,"$ 13,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",51731,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/3_resultado-1.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""Agua Alcalina iones"", ""url"": ""https://friovesa.com/product/agua-alcalina/""}, {""name"": ""Termo Térmico 740 ml c/Tapa Pico"", ""url"": ""https://friovesa.com/product/termo-termico-740-ml-c-tapa-pico/""}, {""name"": ""Termo Térmico 621 ml Sport Lid"", ""url"": ""https://friovesa.com/product/termo-termico-621-ml-sport-lid/""}, {""name"": ""Vaso Térmico 600 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-600-ml/""}]",[],"[{""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/1_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""51731"", ""stock_quantity"": 25.0, ""variation_id"": ""678"", ""weight"": """"}, {""attributes"": {""color"": ""amarillo""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/2_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""51731"", ""stock_quantity"": 75.0, ""variation_id"": ""679"", ""weight"": """"}, {""attributes"": {""color"": ""azul""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/3_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""51731-01"", ""stock_quantity"": 75.0, ""variation_id"": ""657"", ""weight"": """"}, {""attributes"": {""color"": ""rosado""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/5_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""51731-03"", ""stock_quantity"": 25.0, ""variation_id"": ""659"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:07.693295+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Termo Térmico 355 ml"", ""price_text"": ""$ 13,00"", ""product_id"": ""621""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-23T21:22:28+00:00""}"
620,Termo Térmico 621 ml Sport Lid,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/termo-termico-621-ml-sport-lid/,200,https://friovesa.com/product/termo-termico-621-ml-sport-lid/,13.0,13.0,,"$ 13,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",72578,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/8_resultado.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""Agua Alcalina iones"", ""url"": ""https://friovesa.com/product/agua-alcalina/""}, {""name"": ""Tapa de Repuesto con Pico"", ""url"": ""https://friovesa.com/product/tapa-de-repuesto-con-pico/""}, {""name"": ""Vaso Térmico 473 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-473-ml/""}, {""name"": ""Funda de Silicona P Fits 355 ml a 740 ml"", ""url"": ""https://friovesa.com/product/funda-de-silicona-p-fits-355-ml-a-740-ml/""}]",[],"[{""attributes"": {""color"": ""blanco""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/8_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""72578-02"", ""stock_quantity"": 30.0, ""variation_id"": ""654"", ""weight"": """"}, {""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/10_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""72578-03"", ""stock_quantity"": 30.0, ""variation_id"": ""655"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:08.906091+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Termo Térmico 621 ml Sport Lid"", ""price_text"": ""$ 13,00"", ""product_id"": ""620""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-23T21:29:34+00:00""}"
619,Termo Térmico 740 ml c/Tapa Pico,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/termo-termico-740-ml-c-tapa-pico/,200,https://friovesa.com/product/termo-termico-740-ml-c-tapa-pico/,15.0,15.0,,"$ 15,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",72846,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/13_resultado-1.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""Purificador Ducha"", ""url"": ""https://friovesa.com/product/purificador-ducha/""}, {""name"": ""Purificador Casero"", ""url"": ""https://friovesa.com/product/purificador-casero/""}, {""name"": ""Tapa de Repuesto con Pico"", ""url"": ""https://friovesa.com/product/tapa-de-repuesto-con-pico/""}, {""name"": ""Vaso Térmico Cafetero 500 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-cafetero-500-ml/""}]",[],"[{""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/14_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 15, ""regular_price"": 15, ""sale_price"": null, ""sku"": ""72846-02"", ""stock_quantity"": 25.0, ""variation_id"": ""632"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:08.228087+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Termo Térmico 740 ml c/Tapa Pico"", ""price_text"": ""$ 15,00"", ""product_id"": ""619""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-23T21:30:58+00:00""}"
626,Vaso Térmico 473 ml,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/vaso-termico-473-ml/,200,https://friovesa.com/product/vaso-termico-473-ml/,13.0,13.0,,"$ 13,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",63458,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/10_resultado-1.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""MicroPuroficador"", ""url"": ""https://friovesa.com/product/micropuroficador/""}, {""name"": ""Purificador Ducha"", ""url"": ""https://friovesa.com/product/purificador-ducha/""}, {""name"": ""Termo Térmico 355 ml"", ""url"": ""https://friovesa.com/product/termo-termico-355-ml/""}, {""name"": ""Termo Térmico 621 ml Sport Lid"", ""url"": ""https://friovesa.com/product/termo-termico-621-ml-sport-lid/""}]",[],"[{""attributes"": {""color"": ""blanco""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/11_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""63458-01"", ""stock_quantity"": 25.0, ""variation_id"": ""675"", ""weight"": """"}, {""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/10_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""63458-02"", ""stock_quantity"": 75.0, ""variation_id"": ""676"", ""weight"": """"}, {""attributes"": {""color"": ""rojo""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/12_resultado.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 13, ""regular_price"": 13, ""sale_price"": null, ""sku"": ""63458-03"", ""stock_quantity"": 25.0, ""variation_id"": ""677"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:11.090506+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Vaso Térmico 473 ml"", ""price_text"": ""$ 13,00"", ""product_id"": ""626""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-23T21:27:43+00:00""}"
624,Vaso Térmico 600 ml,Quito,uio,Accesorios,,"[""Accesorios""]",https://friovesa.com/product/vaso-termico-600-ml/,200,https://friovesa.com/product/vaso-termico-600-ml/,15.0,15.0,,"$ 15,00",,"Elige tu termo favorito y personalízalo con un grabado único. Escribe una palabra, nombre, marca o una frase pequeña que desees incluir, ¡y nosotros nos encargamos de plasmarlo en tu termo!",64789,,"[""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/9_resultado-1.webp?fit=1156%2C844&ssl=1""]",activo,Con stock,,"[{""name"": ""Purificador Total"", ""url"": ""https://friovesa.com/product/purificador-total/""}, {""name"": ""Purificador Casero"", ""url"": ""https://friovesa.com/product/purificador-casero/""}, {""name"": ""Vaso Térmico 473 ml"", ""url"": ""https://friovesa.com/product/vaso-termico-473-ml/""}, {""name"": ""Termo Térmico 740 ml c/Tapa Pico"", ""url"": ""https://friovesa.com/product/termo-termico-740-ml-c-tapa-pico/""}]",[],"[{""attributes"": {""color"": ""blanco""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/9_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 15, ""regular_price"": 15, ""sale_price"": null, ""sku"": ""64789-01"", ""stock_quantity"": 50.0, ""variation_id"": ""668"", ""weight"": """"}, {""attributes"": {""color"": ""negro""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/7_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 15, ""regular_price"": 15, ""sale_price"": null, ""sku"": ""64789-02"", ""stock_quantity"": 25.0, ""variation_id"": ""669"", ""weight"": """"}, {""attributes"": {""color"": ""rosado""}, ""description"": """", ""image"": ""https://i0.wp.com/friovesa.com/wp-content/uploads/2025/10/8_resultado-1.webp?fit=1156%2C844&ssl=1"", ""in_stock"": true, ""price"": 15, ""regular_price"": 15, ""sale_price"": null, ""sku"": ""64789-03"", ""stock_quantity"": 25.0, ""variation_id"": ""670"", ""weight"": """"}]",{},"[""Inicio"", ""UIO"", ""Accesorios""]",2026-07-31T11:02:11.211945+00:00,,"{""brand"": """", ""gtin"": """", ""listing"": {""name"": ""Vaso Térmico 600 ml"", ""price_text"": ""$ 15,00"", ""product_id"": ""624""}, ""mpn"": """", ""sitemap_lastmod"": ""2026-06-23T21:26:17+00:00""}"
